ts_utc,ts_ms,date_cn,base,symbol,oi_size,oi_delta_pct,funding_bp,funding_pctile,funding_positive_share,next_funding_ms
2026-09-24T16:20:33.128Z,1790266833128,2026-09-25,GOOGL,GOOGLUSDT,61696.65999999999,0.0002,3.47,92.0,35.0,1790294400000
2026-09-24T16:20:33.128Z,1790266833128,2026-09-25,SPY,SPYUSDT,13649.370000000008,-0.4162,0.94,93.0,15.0,1790294400000
2026-09-24T16:20:33.128Z,1790266833128,2026-09-25,QQQ,QQQUSDT,20326.349999999995,0.535,0.85,68.0,42.0,1790294400000
2026-09-24T16:20:33.128Z,1790266833128,2026-09-25,SOXL,SOXLUSDT,381596.499999999,0.2242,2.58,83.0,28.0,1790294400000
2026-09-24T16:20:33.128Z,1790266833128,2026-09-25,HOOD,HOODUSDT,43454.10000000002,-0.3779,0.9,86.0,26.0,1790294400000
2026-09-24T16:20:33.128Z,1790266833128,2026-09-25,MRVL,MRVLUSDT,16831.670000000024,0.0899,0.0,74.0,26.0,1790294400000
2026-09-24T16:21:29.683Z,1790266889683,2026-09-25,TSLA,TSLAUSDT,44171.90000000003,-0.1325,0.0,78.0,22.0,1790294400000
2026-09-24T16:21:29.683Z,1790266889683,2026-09-25,NVDA,NVDAUSDT,72740.87999999992,0.1948,1.82,86.0,31.0,1790294400000
2026-09-24T16:21:29.683Z,1790266889683,2026-09-25,AAPL,AAPLUSDT,22748.019999999993,0.0379,0.0,82.0,18.0,1790294400000
2026-09-24T16:21:29.683Z,1790266889683,2026-09-25,META,METAUSDT,9001.860000000004,-0.2486,0.0,90.0,10.0,1790294400000
2026-09-24T16:21:29.683Z,1790266889683,2026-09-25,GOOGL,GOOGLUSDT,61670.289999999986,-0.0427,3.47,92.0,35.0,1790294400000
2026-09-24T16:21:29.683Z,1790266889683,2026-09-25,SPY,SPYUSDT,13796.510000000007,1.078,0.93,93.0,15.0,1790294400000
2026-09-24T16:21:29.683Z,1790266889683,2026-09-25,QQQ,QQQUSDT,20323.109999999993,-0.0159,0.86,68.0,42.0,1790294400000
2026-09-24T16:21:29.683Z,1790266889683,2026-09-25,SOXL,SOXLUSDT,382796.38999999897,0.3144,2.6,84.0,28.0,1790294400000
2026-09-24T16:21:29.683Z,1790266889683,2026-09-25,HOOD,HOODUSDT,43377.98000000002,-0.1752,0.92,87.0,26.0,1790294400000
2026-09-24T16:21:29.683Z,1790266889683,2026-09-25,MRVL,MRVLUSDT,16849.940000000028,0.1085,0.0,74.0,26.0,1790294400000
2026-09-24T16:22:15.684Z,1790266935684,2026-09-25,TSLA,TSLAUSDT,44170.890000000036,-0.0023,0.0,78.0,22.0,1790294400000
2026-09-24T16:22:15.684Z,1790266935684,2026-09-25,NVDA,NVDAUSDT,72735.37999999992,-0.0076,1.82,86.0,31.0,1790294400000
2026-09-24T16:22:15.684Z,1790266935684,2026-09-25,AAPL,AAPLUSDT,22753.419999999995,0.0237,0.0,82.0,18.0,1790294400000
2026-09-24T16:22:15.684Z,1790266935684,2026-09-25,META,METAUSDT,9000.660000000005,-0.0133,0.0,90.0,10.0,1790294400000
2026-09-24T16:22:15.684Z,1790266935684,2026-09-25,GOOGL,GOOGLUSDT,61667.84999999999,-0.004,3.47,92.0,35.0,1790294400000
2026-09-24T16:22:15.684Z,1790266935684,2026-09-25,SPY,SPYUSDT,13803.92000000001,0.0537,0.93,93.0,15.0,1790294400000
2026-09-24T16:22:15.684Z,1790266935684,2026-09-25,QQQ,QQQUSDT,20312.969999999994,-0.0499,0.86,68.0,42.0,1790294400000
2026-09-24T16:22:15.684Z,1790266935684,2026-09-25,SOXL,SOXLUSDT,382915.23999999894,0.031,2.57,83.0,28.0,1790294400000
2026-09-24T16:22:15.684Z,1790266935684,2026-09-25,HOOD,HOODUSDT,43498.140000000014,0.277,0.94,87.0,26.0,1790294400000
2026-09-24T16:22:15.684Z,1790266935684,2026-09-25,MRVL,MRVLUSDT,16854.310000000027,0.0259,0.0,74.0,26.0,1790294400000
2026-09-24T16:25:38.820Z,1790267138820,2026-09-25,TSLA,TSLAUSDT,44129.18000000004,-0.0944,0.0,78.0,22.0,1790294400000
2026-09-24T16:25:38.820Z,1790267138820,2026-09-25,NVDA,NVDAUSDT,72703.03999999992,-0.0445,1.86,87.0,31.0,1790294400000
2026-09-24T16:25:38.820Z,1790267138820,2026-09-25,AAPL,AAPLUSDT,22790.659999999996,0.1637,0.0,82.0,18.0,1790294400000
2026-09-24T16:25:38.820Z,1790267138820,2026-09-25,META,METAUSDT,8936.180000000004,-0.7164,0.0,90.0,10.0,1790294400000
2026-09-24T16:25:38.820Z,1790267138820,2026-09-25,GOOGL,GOOGLUSDT,61658.76999999998,-0.0147,3.47,92.0,35.0,1790294400000
2026-09-24T16:25:38.820Z,1790267138820,2026-09-25,SPY,SPYUSDT,13806.340000000007,0.0175,0.94,93.0,15.0,1790294400000
2026-09-24T16:25:38.820Z,1790267138820,2026-09-25,QQQ,QQQUSDT,20300.429999999993,-0.0617,0.88,69.0,42.0,1790294400000
2026-09-24T16:25:38.820Z,1790267138820,2026-09-25,SOXL,SOXLUSDT,384621.5199999989,0.4456,2.57,83.0,28.0,1790294400000
2026-09-24T16:25:38.820Z,1790267138820,2026-09-25,HOOD,HOODUSDT,43426.680000000015,-0.1643,1.0,87.0,26.0,1790294400000
2026-09-24T16:25:38.820Z,1790267138820,2026-09-25,MRVL,MRVLUSDT,16802.55000000003,-0.3071,0.0,74.0,26.0,1790294400000
2026-09-24T16:25:53.042Z,1790267153042,2026-09-25,TSLA,TSLAUSDT,44128.94000000003,-0.095,0.0,78.0,22.0,1790294400000
2026-09-24T16:25:53.042Z,1790267153042,2026-09-25,NVDA,NVDAUSDT,72702.15999999993,-0.0457,1.86,87.0,31.0,1790294400000
2026-09-24T16:25:53.042Z,1790267153042,2026-09-25,AAPL,AAPLUSDT,22790.659999999993,0.1637,0.0,82.0,18.0,1790294400000
2026-09-24T16:25:53.042Z,1790267153042,2026-09-25,META,METAUSDT,8936.180000000004,-0.7164,0.0,90.0,10.0,1790294400000
2026-09-24T16:25:53.042Z,1790267153042,2026-09-25,GOOGL,GOOGLUSDT,61636.709999999985,-0.0505,3.47,92.0,35.0,1790294400000
2026-09-24T16:25:53.042Z,1790267153042,2026-09-25,SPY,SPYUSDT,13806.360000000008,0.0177,0.94,93.0,15.0,1790294400000
2026-09-24T16:25:53.042Z,1790267153042,2026-09-25,QQQ,QQQUSDT,20300.269999999993,-0.0625,,,,
2026-09-24T16:25:53.042Z,1790267153042,2026-09-25,SOXL,SOXLUSDT,385020.0899999989,0.1036,2.57,83.0,28.0,1790294400000
2026-09-24T16:25:53.042Z,1790267153042,2026-09-25,HOOD,HOODUSDT,43426.680000000015,0.0,1.0,87.0,26.0,1790294400000
2026-09-24T16:25:53.042Z,1790267153042,2026-09-25,MRVL,MRVLUSDT,16772.07000000003,-0.1814,0.0,74.0,26.0,1790294400000
2026-09-24T16:27:02.653Z,1790267222653,2026-09-25,TSLA,TSLAUSDT,44118.36000000004,-0.024,0.0,78.0,22.0,1790294400000
2026-09-24T16:27:02.653Z,1790267222653,2026-09-25,NVDA,NVDAUSDT,71964.05999999994,-1.0152,1.87,87.0,31.0,1790294400000
2026-09-24T16:27:02.653Z,1790267222653,2026-09-25,AAPL,AAPLUSDT,22812.37999999999,0.0953,0.0,82.0,18.0,1790294400000
2026-09-24T16:27:02.653Z,1790267222653,2026-09-25,META,METAUSDT,8932.620000000004,-0.0398,0.0,90.0,10.0,1790294400000
2026-09-24T16:27:02.653Z,1790267222653,2026-09-25,GOOGL,GOOGLUSDT,61595.90999999999,-0.0662,3.47,92.0,35.0,1790294400000
2026-09-24T16:27:02.653Z,1790267222653,2026-09-25,SPY,SPYUSDT,13805.640000000009,-0.0052,0.93,93.0,15.0,1790294400000
2026-09-24T16:27:02.653Z,1790267222653,2026-09-25,QQQ,QQQUSDT,20291.019999999993,-0.0456,0.88,69.0,42.0,1790294400000
2026-09-24T16:27:02.653Z,1790267222653,2026-09-25,SOXL,SOXLUSDT,386255.93999999895,0.321,2.56,83.0,28.0,1790294400000
2026-09-24T16:27:02.653Z,1790267222653,2026-09-25,HOOD,HOODUSDT,43427.24000000002,0.0013,1.01,87.0,26.0,1790294400000
2026-09-24T16:27:02.653Z,1790267222653,2026-09-25,MRVL,MRVLUSDT,16757.830000000027,-0.0849,0.0,74.0,26.0,1790294400000
2026-09-24T16:29:29.102Z,1790267369102,2026-09-25,TSLA,TSLAUSDT,44113.040000000045,-0.0121,0.0,78.0,22.0,1790294400000
2026-09-24T16:29:29.102Z,1790267369102,2026-09-25,NVDA,NVDAUSDT,71932.31999999993,-0.0441,1.9,87.0,31.0,1790294400000
2026-09-24T16:29:29.102Z,1790267369102,2026-09-25,AAPL,AAPLUSDT,22795.259999999995,-0.075,0.0,82.0,18.0,1790294400000
